ID,Age,Salary,Experience,Department
1,58,6104,1,IT
2,48,7598,20,Sales
3,34,5454,11,Marketing
4,27,6645,25,IT
5,40,8847,5,HR
6,58,3804,22,Sales
7,38,5731,3,HR
8,42,8991,22,HR
9,30,5773,10,IT
10,30,4570,23,Marketing
11,43,8056,26,IT
12,55,8581,16,IT
13,59,5690,30,IT
14,43,6840,5,IT
15,22,4028,23,Sales
16,41,3502,4,Marketing
17,21,7493,19,HR
18,43,3870,1,HR
19,49,7488,5,Marketing
20,57,3206,21,HR
21,21,8134,10,Marketing
22,40,8977,30,HR
23,52,4484,15,IT
24,31,3863,15,HR
25,41,5790,0,Marketing
26,44,3563,8,Marketing
27,46,8116,27,Marketing
28,47,7191,26,Marketing
29,35,4757,5,Marketing
30,34,4678,15,Sales
31,22,6242,28,Sales
32,56,7636,2,HR
33,26,4059,19,Marketing
34,40,8279,27,HR
35,28,4722,26,Marketing
36,58,6314,3,Marketing
37,37,6157,18,Sales
38,23,8915,25,Sales
39,44,5625,2,IT
40,33,5729,30,Sales
41,28,4597,18,IT
42,45,6060,19,IT
43,21,5693,6,IT
44,39,7891,19,IT
45,47,8147,8,IT
46,26,8739,0,HR
47,27,6627,7,Sales
48,54,4363,6,IT
49,33,4981,17,Marketing
50,36,8450,7,Sales
51,55,4663,0,Sales
52,59,4529,10,IT
53,23,5038,27,HR
54,21,8592,24,IT
55,25,6302,24,HR
56,23,5237,17,Marketing
57,48,8504,22,Sales
58,37,8496,30,Marketing
59,45,4306,29,HR
60,53,7029,9,HR
61,29,5675,2,Marketing
62,55,8068,6,HR
63,33,8864,27,Marketing
64,50,4282,15,Sales
65,34,3709,25,Marketing
66,27,8575,15,Sales
67,33,8530,24,Marketing
68,42,7744,19,HR
69,59,7413,27,Marketing
70,40,6748,16,HR
71,35,8353,1,Marketing
72,37,7779,0,Marketing
73,43,3663,15,IT
74,45,4998,29,HR
75,44,6445,11,IT
76,60,6743,4,HR
77,48,8727,4,IT
78,34,4495,26,Sales
79,20,6304,22,Marketing
80,44,6763,8,HR
81,26,8232,8,HR
82,28,4853,2,Marketing
83,43,8616,18,HR
84,20,7659,15,HR
85,27,4291,15,IT
86,43,6581,2,HR
87,30,6457,19,Sales
88,36,4636,23,Sales
89,27,6696,21,Marketing
90,54,5999,23,HR
91,54,6152,0,Marketing
92,52,3698,23,Sales
93,24,5160,19,HR
94,58,7097,10,HR
95,60,7737,16,Marketing
96,47,8685,7,Sales
97,26,3854,3,HR
98,28,8855,5,Marketing
99,27,6474,7,Sales
100,31,8757,19,Marketing
